Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
WLB,44.0,"Ramos, Colin SR",,59.0,"Oatsvall, Elijah JR",,52.0,"McCamy, Nolan SO",,,,,,,
STRIK,14.0,"Campbell, Jaxson JR",,0.0,"McShan, Kenneth JR",,21.0,"McLean, JaSean SO",,,,,,,
FCB,13.0,"Duhart, Andrew JR",,3.0,"Oniha, Ira SO",,10.0,"Heathington, Arnel SO",,,,,,,
BAN,7.0,"Williams Jr., Mbiti SR",,26.0,"Abraham, Kush'i SO",,2.0,"Lessane, Conner SO",,,,,,,
FS,18.0,"Lane III, Rayuan SR",,29.0,"Sessi, Giuseppe SO",,4.0,"Walker II, Adam JR",,,,,,,
BCB,1.0,"Peele, Dashaun SR",,8.0,"Johnson II, Greg SO",,28.0,"Allen, Bryce SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,90.0,"Riethman, Riley SR",,15.0,"Grave de Peralta, Kellen SR",,,,,,,,,,
PK,17.0,"Kirkwood, Nathan JR",,99.0,"Gossett, Lance SO",,,,,,,,,,
KO,17.0,"Kirkwood, Nathan JR",,99.0,"Gossett, Lance SO",,,,,,,,,,
LS,92.0,"Fry, Rayne SO",,45.0,"Wine, Brady JR",,,,,,,,,,
H,90.0,"Riethman, Riley SR",,15.0,"Grave de Peralta, Kellen SR",,,,,,,,,,
PR,28.0,"Hassan, Amin SR",,24.0,"Chatman, Brandon JR",,,,,,,,,,
KR,23.0,"Bradley, Tyler SO",,28.0,"Hassan, Amin SR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
North Texas Mean Green,,,,,,,,,,,,,,,
WR-X,11.0,"Aaron, Jeremiah JR/TR",,7.0,"Carnes, Dalton RS SO/TR",,,,,,,,,,
WR-Z,8.0,"Ward Jr., Damon RS SR",,18.0,"Ferguson, Mason FR",,,,,,,,,,
WR-Y,0.0,"Conwright, Blair RS SR/TR",,10.0,"Sheffield, DT RS JR/TR",,,,,,,,,,
WR-H,22.0,"Sides, Landon SO",,31.0,"Porter, Shane RS JR/TR",,,,,,,,,,
LT,58.0,"Lee, Ma'Kyi RS JR/TR",,76.0,"Magiya, Desmond RS FR",,,,,,,,,,
LG,65.0,"Blair, Gabe SR",,54.0,"Dickson III, Johnny RS SO/TR",,71.0,"Asenuga, Leke RS JR/TR",,,,,,,
C,64.0,"Duncan, Jett SR",,56.0,"Mercer, Tyler FR",,,,,,,,,,
RG,72.0,"Peterson, Landon RS SR/TR",,60.0,"Vaipulu, Paula SR/TR",,,,,,,,,,
RT,74.0,"Moore III, Larry RS SR/TR",,73.0,"Lott, Jasper RS JR/TR",,,,,,,,,,
TE,88.0,"Kautai, Xzavior RS JR",,23.0,"Hammond, Oscar JR/TR",,87.0,"Young Jr., Brandon FR",,,,,,,
QB,4.0,"Morris, Chandler RS JR/TR",,3.0,"McCollum, Cash FR",,,,,,,,,,
RB,6.0,"Ragsdale, Ikaika RS JR",,26.0,"Evans, Zach RS SO/TR",,2.0,"Price, Juwaun RS SR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,9.0,"Shipley, Jake SR/TR",,89.0,"Dawkins, Terrell RS SR/TR",,95.0,"Charles, Breylon JR/TR",,,,,,,
NT,10.0,"Brown, Roderick SR",,91.0,"Smith Jr., Keith RS FR",,,,,,,,,,
DT,15.0,"Vailea II, Fatafehi RS JR",,97.0,"Bronson, VJ RS JR/TR",,,,,,,,,,
WLB,32.0,"Wesloski, Ethan RS SO",,35.0,"Jean-Louis, JJ RS FR/TR",,40.0,"Ayers, Trent RS SR/TR",,,,,,,
MLB,8.0,"Brown, Jordan SR",,24.0,"Brown, Chavez JR/TR",,3.0,"Ruder, Jace RS SR/TR",,,,,,,
SLB,36.0,"Smith, Jaylen SR",,34.0,"Garnett, CJ JR/TR",,27.0,"Moore, Matthew RS FR",,,,,,,
FCB,5.0,"Texada, Ridge SR/TR",,4.0,"Nelson II, Brian RS FR",,17.0,"Starling, Taylor RS FR",,,,,,,
SS,30.0,"Allen Jr., BJ SO/TR",,2.0,"Jackson, Evan SO",,,,,,,,,,
FS,21.0,"Hill, Jayden SR/TR",,18.0,"Spruiells, David SO/TR",,,,,,,,,,
BCB,23.0,"Brice, X'Avion RS SO/TR",,6.0,"Thompson, Loronzo SR",,,,,,,,,,
NB,1.0,"Young, Isheem RS SR/TR",,14.0,"Anderson, Jayven SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,41.0,"Evans, Sawyer SR/TR",,98.0,"Ford, Seth JR/TR",,,,,,,,,,
PK,29.0,"Ford, Blake RS SO/TR",,40.0,"Nguma, Kali RS FR",,,,,,,,,,
KO,29.0,"Ford, Blake RS SO/TR",,40.0,"Nguma, Kali RS FR",,,,,,,,,,
LS,52.0,"Walker, Jenson SR/TR",,50.0,"Yates, Caden RS FR",,,,,,,,,,
H,41.0,"Evans, Sawyer SR/TR",,98.0,"Ford, Seth JR/TR",,,,,,,,,,
PR,10.0,"Sheffield, DT RS JR/TR",,22.0,"Sides, Landon SO",,,,,,,,,,
KR,8.0,"Ward Jr., Damon RS SR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rice Owls,,,,,,,,,,,,,,,
WR-X,80.0,"MacNeill, Rawson RS SO",,16.0,"Walker, Graham GR/TR",,8.0,"Sykes, Matt GR/TR",,,,,,,
WR-Z,17.0,"Ransom-Goelz, Landon SO",,81.0,"Walker, Braylen RS SO",,1.0,"Johnson-McCray, JoVoni RS SR",,,,,,,
WR-F,2.0,"Campbell, Kobie SR",,11.0,"Thompson, Tyson RS JR/TR",,19.0,"Chiaokhiao-Bowman, Thai RS SO/TR",,,,,,,
LT,75.0,"Cedeno, Miguel RS SO",,74.0,"Baur, Brad RS SO",,55.0,"Fehoko, Netane RS JR/TR",,,,,,,
LG,77.0,"Banks, Brant GR/TR",,50.0,"Valent, Patrick RS FR",,61.0,"Norfleet, Trace RS SO",,,,,,,
C,64.0,"Stickle, David GR/TR",,79.0,"Kropp, Weston SR/TR",,,,,,,,,,
RG,69.0,"Lindberg, Chad RS SR/TR",,76.0,"Long, John RS JR",,,,,,,,,,
RT,78.0,"Onianwa, Ethan RS JR",,73.0,"Cassell, Spencer GR/TR",,58.0,"Farmer, Peyton RS FR",,,,,,,
TE-Y,14.0,"Groen, Boden SR/TR",,7.0,"Mojarro, Elijah GR/TR",,84.0,"Powell, Ethan GR/TR",,82.0,"Hall, Matt GR/TR",,,,
QB,13.0,"Warner, E.J. JR/TR",,12.0,"Padgett, AJ RS SO",,15.0,"Itraish, Shawqi RS JR",,5.0,"Devillier, Drew FR",,,,
RB,0.0,"Connors, Dean SR/TR",,3.0,"Bennett, Coleman GR/TR",,10.0,"Jackson, Quinton RS SO",,20.0,"Alexander, Daelen SO",,,,
FB,49.0,"Barnett, Micah JR",,44.0,"Hargon, Geron RS JR",,4.0,"Giffen, Colin RS JR/TR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,94.0,"Looes, Charlie GR/TR",,45.0,"Green, Demone RS SO",,0.0,"Campbell, Jordan SR/TR",,8.0,"Mutombo, Joseph RS FR",,,,
NT,75.0,"Boenisch, Blake RS JR",,30.0,"Morris III, Elroyal RS JR",,52.0,"Hargrove, Jalen RS JR",,,,,,,
DT,50.0,"Floyd, Izeya RS SR",,74.0,"Larbie, Michael GR/TR",,57.0,"Clemmons, Aquantis SO",,99.0,"Clark-Jolivet, Christopher SO",,,,
RUSH,5.0,"Pearcy, Josh RS SR",,49.0,"Daley, Michael RS JR/TR",,16.0,"Nwajuaku, Chibby RS FR",,97.0,"Scherle, Alex RS SO",,,,
MLB,11.0,"Conti, Chris RS SR/TR",,2.0,"Arkansas, DJ RS JR",,3.0,"Morris, Ty SO",,,,,,,
WLB,33.0,"Morrison, Myron RS SR",,27.0,"Awe, Andrew RS JR",,40.0,"Seymour Jr., Kenny RS JR",,,,,,,
VIPER,41.0,"Wyatt, Plae RS JR",,7.0,"Anigbogu, Chike GR",,9.0,"Stevenson, Peyton RS JR",,,,,,,
LCB,1.0,"Fresch, Sean SR",,19.0,"Marks, Faybian GR/TR",,21.0,"Clark, Jamarion SO",,,,,,,
SS,22.0,"Jean, Jonathan RS JR",,29.0,"Hook, Daveon JR",,6.0,"Ojiaku, Ashton RS FR",,,,,,,
FS,26.0,"Taylor, Gabriel SR",,31.0,"Flowers, Tyson RS SO",,4.0,"Williams, Marcus RS JR",,,,,,,
RCB,13.0,"Narcisse, Lamont RS JR",,17.0,"Ahoia, Max SR/TR",,10.0,"Bility, Moh RS SO/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,23.0,"Hunt, Conor RS SR/TR",,91.0,"Bacchetta, Alex SO/TR",,30.0,"Keeney, Reese RS FR",,,,,,,
PK,15.0,"Horn, Tim RS SR/TR",,28.0,"Gota, Enock RS SO",,,,,,,,,,
KO,28.0,"Gota, Enock RS SO",,15.0,"Horn, Tim RS SR/TR",,,,,,,,,,
LS,48.0,"Freeman, Wyatt SO",,45.0,"Connell, Colby SO",,,,,,,,,,
H,23.0,"Hunt, Conor RS SR/TR",,91.0,"Bacchetta, Alex SO/TR",,30.0,"Keeney, Reese RS FR",,,,,,,
PR,1.0,"Fresch, Sean SR",,6.0,"Dickmann, Drayden RS FR",,,,,,,,,,
KR,10.0,"Jackson, Quinton RS SO",,1.0,"Fresch, Sean SR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
South Florida Bulls,,,,,,,,,,,,,,,
WR-X,7.0,"Brown-Stephens, Michael GR/TR",,15.0,"Kelly, Tyree SO",,80.0,"Porter, Joshua FR",,,,,,,
WR-Z,2.0,"Yaseen, Abdur-Rahmaan GR/TR",,1.0,"Hardeman, Josh RS SR/TR",,81.0,"Singleton, Keshaun RS FR",,82.0,"Parks, Arkese FR",,,,
WR-SL,38.0,"Atkins, Sean GR",,6.0,"Simmons, Naiem SR/TR",,19.0,"Smith, JeyQuan RS FR",,0.0,"Winton, Brandon FR",,,,
LT,70.0,"Perry, RJ RS SR/TR",,78.0,"Wilty, Jack RS JR/TR",,54.0,"Carter, Braden FR",,,,,,,
LG,56.0,"Skinner, Cole SO",,75.0,"Kilfoyl, Andrew RS JR",,55.0,"Jenkins, James RS FR",,,,,,,
C,65.0,"Lofton, Mike RS SR/TR",,72.0,"Best, Cole RS JR",,58.0,"Lawrence, TJ FR",,,,,,,
RG,51.0,"Herring, Zane RS SR/TR",,74.0,"Bowie, Deonte RS JR/TR",,66.0,"Morman, Teriyan FR",,,,,,,
RT,62.0,"Bowman, Derek RS SR/TR",,76.0,"Milovac, Nikola RS FR",,77.0,"Major, Tyreek FR",,,,,,,
TE,18.0,"Wolff, Weston RS JR/TR",,88.0,"Singletary, Payten RS SR/TR",,87.0,"Greenwald, Gunnar SR",,11.0,"Echols, Jonathan FR",,,,
QB,17.0,"Brown, Byrum RS SO",,3.0,"Archie, Bryce RS SO/TR",,13.0,"Carter, Israel RS FR",,14.0,"Tate, Marcelis FR",,,,
RB,5.0,"Wright, Nay'Quan GR/TR",,8.0,"Joiner, Kelley GR",,9.0,"Keith, Ta'Ron SR/TR",,10.0,"Isaac, Alvon FR",,20.0,"Johnson, Jaylen RS FR",
DEF,,,,,,,,,,,,,,,
DE,14.0,"Williams II, Michael RS SO",,6.0,"Hickman, Immanuel GR/TR",,50.0,"Exume, Dinellson FR",,91.0,"Jenkins, Ryan FR",,,,
NT,0.0,"Blue-Eli, Doug RS JR/TR",,90.0,"Hawthorne, Decarius RS SR/TR",,44.0,"Williams, Jacquez RS SO",,97.0,"Grant, Jahari FR",,,,
DT,99.0,"Cheney, Rashad GR/TR",,3.0,"Gooden, Bernard RS JR/TR",,51.0,"Exume, Chenellson FR",,,,,,,
EDGE,4.0,"Vaughn, Jason GR",,11.0,"Harris, D.J. RS JR/TR",,30.0,"Singleton, Ira FR",,18.0,"Smiley, Levi FR",,33.0,"Mosley, Ashton FR",
MLB,24.0,"Harris, Mac RS SR",,8.0,"Gordon IV, DJ GR/TR",,17.0,"Hill, Rodney FR",,57.0,"Byrd, Devon FR",,,,
WLB,7.0,"Shuler, Jhalyn GR/TR",,19.0,"Pettway, Jamie RS SR/TR",,16.0,"Long, Langston GR/TR",,53.0,"Hamilton, Zavier FR",,,,
LCB,9.0,"Brown, Aamaris SR/TR",,2.0,"Ward, Tavin RS SO",,20.0,"Austin, Brent JR/TR",,27.0,"Campbell, Cameron FR",,,,
SS,21.0,"Stokes, Jaelen RS JR",,12.0,"Byard, Tawfiq RS FR",,15.0,"Gaskin, Fred FR",,,,,,,
FS,5.0,"Berryhill, Caqavouis GR",,10.0,"Augustin, D'Marco SR/TR",,26.0,"Dalias, Jermaine FR",,,,,,,
RCB,1.0,"Knox, Ben GR",,22.0,"Rucker, De'Shawn RS JR/TR",,29.0,"Platt, Deylen FR",,,,,,,
NB,13.0,"Banks, Kajuan JR/TR",,28.0,"Lee, Jarvis SO",,32.0,"Chenault, James FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,36.0,"Stokes, Andrew SR",,31.0,"Stainton, Pierse RS SO",,,,,,,,,,
PK,39.0,"Cannon, John RS JR",,7.0,"Gramatica, Nico FR",,40.0,"Ippolito, Ty RS FR",,,,,,,
KO,39.0,"Cannon, John RS JR",,7.0,"Gramatica, Nico FR",,40.0,"Ippolito, Ty RS FR",,,,,,,
LS,52.0,"Dubuc, Trey RS FR",,95.0,"Cates, Garrett JR/TR",,,,,,,,,,
H,16.0,"Bolduc, Ryan RS SO",,36.0,"Stokes, Andrew SR",,,,,,,,,,
PR,38.0,"Atkins, Sean GR",,6.0,"Simmons, Naiem SR/TR",,,,,,,,,,
KR,8.0,"Joiner, Kelley GR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,12.0,"Alexis, Jaden RS JR/TR",,4.0,"Powell, K'wan RS JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Temple Owls,,,,,,,,,,,,,,,
WR-X,80.0,"Baines, Zae RS JR",,1.0,"Stewart, Ian GR/TR",,43.0,"Sprague, Cole RS SO/TR",,,,,,,
WR-Z,10.0,"Wright, Dante GR/TR",,19.0,"Jones, Antonio SR/TR",,39.0,"Madden, Kyle RS JR",,,,,,,
WR-SL,86.0,"Irvin, Xavier SO",,17.0,"Adams, John RS JR",,82.0,"Collins, Elias RS SO",,44.0,"Johnson, Kian RS FR",,,,
LT,75.0,"Watson, Luke SO",,73.0,"Lindberg, Linus JR/TR",,70.0,"Siani, Melvin RS FR",,,,,,,
LG,52.0,"King, Eric RS FR",,62.0,"Faminu, James GR/TR",,51.0,"Palu, Mausa JR/TR",,,,,,,
C,57.0,"Mains, Grayson RS SO/TR",,66.0,"Smith, Chris RS JR/TR",,,,,,,,,,
RG,79.0,"Quarshie, Wisdom GR",,54.0,"Pruitt, Jackson RS SO",,,,,,,,,,
RT,56.0,"Terry, Kevin RS FR",,77.0,"Barajas, Diego RS JR/TR",,,,,,,,,,
TE,81.0,"Morris, Landon RS JR/TR",,95.0,"Clark, Reese RS SO",,88.0,"Clarke, Peter SO",,87.0,"Della Pesca, James GR",,,,
QB,11.0,"Brock, Forrest RS JR/TR",,12.0,"Simon, Evan RS JR/TR",,14.0,"Douglas, Tyler RS FR",,15.0,"Dietrich, Chris FR",,,,
RB,31.0,"Littleton, Antwain RS JR/TR",,24.0,"Smith, Joquez SO",,22.0,"Washington, Tyrei JR/TR",,20.0,"Wilson, E.J. SR/TR",,,,
DEF,,,,,,,,,,,,,,,
DE,91.0,"Stewart, Cam'Ron RS JR/TR",,58.0,"Kromah, Sekou JR/TR",,35.0,"Whitaker, Tyrese RS FR",,,,,,,
NT,96.0,"Jean, Latrell RS SR/TR",,90.0,"Greene, Conlan SO",,,,,,,,,,
DT,97.0,"Haye, Allan RS JR/TR",,88.0,"Morris, Demerick GR",,56.0,"Miles, K.J. RS SO/TR",,,,,,,
JACK,30.0,"Thomas, Tra RS JR/TR",,34.0,"Black, Diwun GR/TR",,,,,,,,,,
MLB,22.0,"Stuart, Eric JR/TR",,17.0,"Lepolo, Tyler JR/TR",,15.0,"Wright, T.K. RS SO/TR",,,,,,,
WLB,10.0,"King, Tyquan RS JR/TR",,23.0,"Santiago, Antwone RS SO",,11.0,"Woodbury Sr., D.J. SR",,,,,,,
OWL,26.0,"Smith-Marsette, Ihsim RS FR",,21.0,"Lewis, Jaylen RS SO/TR",,,,,,,,,,
LCB,27.0,"Deravil, Elijah GR/TR",,20.0,"Johnson, Jamel RS SO/TR",,12.0,"Sweeting, Darrell RS FR",,,,,,,
SS,19.0,"Keaton, Andreas SR/TR",,14.0,"Frye, Louis RS JR/TR",,,,,,,,,,
FS,29.0,"Morton, Javier RS JR/TR",,42.0,"Powell, Zyil RS FR",,,,,,,,,,
RCB,13.0,"Richardson, Torey RS SR/TR",,24.0,"Osueke, Ben SR/TR",,16.0,"Owens, DeVonta JR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37.0,"Atton, Dante SO/TR",,,,,,,,,,,,,
PK,91.0,"Trujillo, Maddux SR/TR",,,,,,,,,,,,,
KO,98.0,"Hardin, Carl RS FR",,,,,,,,,,,,,
LS,36.0,"McIlquham, Andrew RS JR/TR",,38.0,"Noonan, Brylan RS JR/TR",,,,,,,,,,
H,37.0,"Atton, Dante SO/TR",,,,,,,,,,,,,
PR,10.0,"Wright, Dante GR/TR",,,,,,,,,,,,,
KR,19.0,"Jones, Antonio SR/TR",,20.0,"Wilson, E.J. SR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tulane Green Wave,,,,,,,,,,,,,,,
WR-X,6.0,"Preston, Shazz RS SO/TR",,1.0,"Fleming, Dontae SR/TR",,11.0,"Mbanasor, Sidney RS FR/TR",,84.0,"Desjardins, Lucas RS JR",,,,
WR-Z,5.0,"Brown, Yulkeith SR/TR",,17.0,"Prean, Khai RS FR/TR",,81.0,"Besh, Luke RS JR",,16.0,"Mmahat, Garrett RS SO",,,,
WR-H,4.0,"Williams, Mario SR/TR",,83.0,"Bohanon, Bryce RS JR",,3.0,"Watts, Phat GR/TR",,39.0,"Evans, Trevor RS JR",,,,
LT,76.0,"Graham, Derrick RS JR/TR",,72.0,"Tuggle, Trey RS JR",,,,,,,,,,
LG,56.0,"Hurst, Shadre RS SO",,74.0,"Cannon, Landry RS FR",,,,,,,,,,
C,64.0,"Murphy, Vincent GR/TR",,58.0,"Thomas, Caleb RS SR",,62.0,"Fortson, Gabe RS FR/TR",,,,,,,
RG,68.0,"Remetich, Josh SR",,55.0,"Steward, Dominic FR",,,,,,,,,,
RT,69.0,"Green, Rashad RS SR",,,,,,,,,,,,,
TE,87.0,"Bauman, Alex JR",,9.0,"Brown, Reggie RS SR",,88.0,"Gunter, Blake RS SO",,85.0,"Miller, Anthony RS FR/TR",,,,
QB,7.0,"Thompson, Ty RS JR/TR",,12.0,"Horton, Kai RS JR",,10.0,"Mensah, Darian RS FR",,22.0,"Wigginton, Alex RS FR",,,,
RB,21.0,"Hughes, Makhi RS SO",,2.0,"Clayton-Johnson, Shaadie RS JR/TR",,20.0,"Barnes III, Arnold SO",,24.0,"Cornist, Trey RS FR",,,,
DEF,,,,,,,,,,,,,,,
DE,45.0,"Huntington, Adin SR/TR",,3.0,"Anderson, Angelo RS SR",,91.0,"Batiste, Deshaun RS FR/TR",,92.0,"Henderson, Gerrod RS SO",,,,
NT,94.0,"Hicks Jr., Eric RS SR",,95.0,"Friloux, Adonis RS SR",,93.0,"Champaigne, Elijah RS JR",,,,,,,
DT,0.0,"Jenkins, Patrick SR/TR",,70.0,"Hamilton, Kameron JR",,98.0,"Petersen, Parker RS JR",,,,,,,
BAN,35.0,"Fobbs-White, Matthew SO",,9.0,"Allen, Terrell SR/TR",,97.0,"Carter, Javon SR/TR",,44.0,"Lunz, Michael RS JR",,,,
WLB,13.0,"Grubbs, Tyler SR/TR",,4.0,"Rodgers, Chris SO/TR",,28.0,"Agu, Dickson RS FR",,36.0,"Eugene Jr., Mandel RS JR",,,,
MLB,99.0,"Machado, Jesus SR",,40.0,"Howard, Sam JR/TR",,41.0,"Williams, Makai SO",,,,,,,
ANCHO,7.0,"Ransaw, Caleb JR/TR",,26.0,"Laister, Shi'Keem RS SR",,43.0,"Rattan, Rishi RS SR",,12.0,"White, Javion FR",,,,
LCB,10.0,"Tillery, Lu SR/TR",,1.0,"Lewis, Jayden FR",,20.0,"Johnson, Jahiem RS FR",,33.0,"Williams II, Rodrek RS JR",,,,
SS,32.0,"Despanie, Bailey RS JR",,23.0,"Adams III, Kevin RS FR",,30.0,"Moore, Joshua RS FR",,,,,,,
FS,2.0,"Geiger, Jalen GR/TR",,29.0,"Tchienchou, Jack RS FR/TR",,38.0,"Moorer, Jared RS JR/TR",,,,,,,
RCB,8.0,"Edward, Jonathan SR/TR",,6.0,"Robinson, Micah JR/TR",,5.0,"Pleasant, Rayshawn RS SO",,39.0,"Kim, Brandon RS JR",,,,
ST,,,,,,,,,,,,,,,
PT,49.0,"Karoll, Will SO",,62.0,"Busch, Brice RS SO",,92.0,"Greenberg, Ethan RS SO",,34.0,"Hudlow, William RS FR",,,,
PK,35.0,"Barnes, Jacob RS SR/TR",,53.0,"Noel, Bobby RS JR",,0.0,"Durkin, Patrick FR",,63.0,"Head, Ethan FR",,,,
KO,35.0,"Barnes, Jacob RS SR/TR",,53.0,"Noel, Bobby RS JR",,0.0,"Durkin, Patrick FR",,63.0,"Head, Ethan FR",,,,
LS,57.0,"Hudak, Ethan RS SR",,67.0,"Peterson, Thomas RS SR/TR",,65.0,"Goodman, Andrew RS SO/TR",,,,,,,
H,49.0,"Karoll, Will SO",,62.0,"Busch, Brice RS SO",,92.0,"Greenberg, Ethan RS SO",,34.0,"Hudlow, William RS FR",,,,
PR,1.0,"Fleming, Dontae SR/TR",,,,,,,,,,,,,
KR,83.0,"Bohanon, Bryce RS JR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tulsa Golden Hurricane,,,,,,,,,,,,,,,
WR-X,89.0,"Wright, Jack RS SR/TR",,35.0,"Smith, Mari RS FR",,,,,,,,,,
WR-Z,13.0,"Ballard, Jeremiah RS JR/TR",,7.0,"Steptoe, Zion RS SO/TR",,,,,,,,,,
WR-SL,18.0,"Benjamin, Kamdyn RS SR",,1.0,"Presley, Braylin JR/TR",,19.0,"Tempest, Grayson SO",,,,,,,
LT,74.0,"Waller, Jacob RS SO/TR",,70.0,"Stanton, Kaden RS FR/TR",,78.0,"Ademisoye, Daniel RS SO",,,,,,,
LG,54.0,"Young Bear, Walter RS JR",,66.0,"Morris, Will RS FR",,,,,,,,,,
C,65.0,"Burnett, Rey SR/TR",,52.0,"Carpenter, Kasen RS FR",,,,,,,,,,
RG,51.0,"Marks, Tautai Lio RS SR/TR",,56.0,"Christian, Colten FR",,,,,,,,,,
RT,50.0,"Aguilar, Ender RS JR/TR",,61.0,"Ringleb, Bennett RS FR",,,,,,,,,,
TE,47.0,"Hall, Ethan RS SR",,87.0,"McGary, Luke SO",,88.0,"Ford, Jackson FR",,,,,,,
QB,2.0,"Williams, Cardell RS SO",,11.0,"Francis, Kirk RS FR",,5.0,"Legas, Cooper GR/TR",,,,,,,
RB,23.0,"Watkins, Anthony RS SR/TR",,3.0,"Jackson, Bill RS JR",,25.0,"Avant, Lloyd FR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,55.0,"Ostroski, Owen RS JR",,32.0,"Malone, Vontroy RS SO",,94.0,"Lohrenz, Justin RS JR/TR",,,,,,,
NT,58.0,"Rich, Tyler RS FR",,97.0,"Reese, Brody RS JR/TR",,90.0,"Hjelle, Joe JR/TR",,,,,,,
DT,95.0,"Jackson Jr., R.J. SO",,72.0,"Newhouse, Tai RS SO",,92.0,"Williams, Amieh GR/TR",,,,,,,
JACK,20.0,"Jackson, Myles RS SR/TR",,26.0,"Neilsen, Zach RS SO",,42.0,"Lee, Jaxon FR",,,,,,,
MLB,22.0,"Thompson, Chris GR/TR",,19.0,"Potter, Gavin GR/TR",,34.0,"Wilson, Elijah RS FR",,,,,,,
WLB,21.0,"Marcheselli, Zach GR/TR",,35.0,"Turner, C.J. RS FR",,38.0,"Ryan, Stockton RS SO/TR",,,,,,,
LCB,11.0,"Jones, Demarco GR/TR",,5.0,"Parker, Keuan RS JR/TR",,,,,,,,,,
SS,10.0,"O'Keefe, Sean RS SR",,2.0,"Cannady, Jehlen RS SR/TR",,,,,,,,,,
FS,1.0,"Hodge, Dayne RS JR",,6.0,"Jones, Malachai RS SR",,,,,,,,,,
RCB,4.0,"Carlisle, Tyree RS SR/TR",,3.0,"Lewis, Champ RS SO/TR",,,,,,,,,,
NB,13.0,"Campbell, NuNu RS SO",,16.0,"Robinson, Devin RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,29.0,"Davies, Angus SO",,32.0,"Stanford, Scott RS SO",,,,,,,,,,
PK,11.0,"Morgan, Seth GR/TR",,18.0,"Slaba, Michael RS SO",,95.0,"Guenthner, Evan RS FR",,,,,,,
KO,11.0,"Morgan, Seth GR/TR",,18.0,"Slaba, Michael RS SO",,95.0,"Guenthner, Evan RS FR",,,,,,,
LS,34.0,"Stone, Parker RS JR/TR",,46.0,"Matthews, Caleb RS JR",,,,,,,,,,
H,9.0,"Kittleman, Stephen RS JR",,32.0,"Stanford, Scott RS SO",,,,,,,,,,
PR,18.0,"Benjamin, Kamdyn RS SR",,6.0,"Jones, Malachai RS SR",,,,,,,,,,
KR,18.0,"Benjamin, Kamdyn RS SR",,1.0,"Presley, Braylin JR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
UAB Blazers,,,,,,,,,,,,,,,
WR-X,1.0,"Thomas, Amare SO",,13.0,"Holt-Bennett, Malachi SR/TR",,6.0,"Milliner, Corri RS FR",,,,,,,
WR-Z,0.0,"Hooks, Iverson RS SO",,9.0,"Buckhaulter, Brandon RS JR/TR",,,,,,,,,,
WR-A,8.0,"Shanks, Kam RS FR",,19.0,"Hawkins Jr., Brandon RS JR/TR",,,,,,,,,,
LT,66.0,"Hall, Jordan RS FR",,77.0,"Moore, Logan RS FR",,65.0,"Hadfield, Tennyson RS SO/TR",,,,,,,
LG,70.0,"Morgan, JonDarius RS JR/TR",,,,,,,,,,,,,
OC,72.0,"Wilson, Brady RS SR",,68.0,"Lepkowski, Adam RS JR",,,,,,,,,,
RG,71.0,"Yates, Quez RS SR/TR",,54.0,"Flournoy, Zaire RS JR",,,,,,,,,,
RT,79.0,"Bedosky, Trey RS SR",,78.0,"Jones, DJ SR/TR",,,,,,,,,,
TE,48.0,"Damous, Bryce RS SR/TR",,11.0,"Payne, Dallas RS SR/TR",,10.0,"McDonald, Terrell RS SR",,,,,,,
QB,4.0,"Zeno, Jacob RS SR/TR",,18.0,"Lyddy, Landry RS SO/TR",,12.0,"Barker, Harrison RS SR",,14.0,"Campbell, Trace RS SO/TR",,17.0,"Kitna, Jalen RS JR/TR",
RB,2.0,"Jacobs, Isaiah RS JR/TR",,29.0,"Beebe Jr., Lee RS SO",,5.0,"Witherspoon, Lee RS SR/TR",,7.0,"Goodwin, Armoni RS JR/TR",,,,
DEF,,,,,,,,,,,,,,,
